
text,label
"ASSUNTO: Ideias novas saindo do forno agora | CORPO: Com base na sua atividade. Veja novas recomendações de pins e pastas. Central de Ajuda, Política de Privacidade e Termos e Condições. Pinterest Inc, San Francisco, CA. Cancelar recebimento de e-mails como este.",Spam
"ASSUNTO: Atualização urgente da sua conta Banco do Brasil | CORPO: Detectamos um acesso suspeito. Atualize seus dados imediatamente para evitar bloqueio. Clique no link e confirme seu login.",Phishing
"ASSUNTO: Caixa Econômica - Problema no seu Pix | CORPO: Seu Pix foi retido por inconsistência. Regularize agora informando seus dados cadastrais no link seguro.",Phishing
"ASSUNTO: Nubank aviso importante | CORPO: Sua conta será suspensa em 24h. Confirme suas informações para continuar usando o serviço.",Phishing
"ASSUNTO: Itaú segurança | CORPO: Atividade incomum detectada. Faça login imediatamente para proteger sua conta.",Phishing
"ASSUNTO: Bradesco alerta de fraude | CORPO: Identificamos tentativa de acesso. Clique aqui e redefina sua senha agora.",Phishing
"ASSUNTO: PagSeguro bloqueio de conta | CORPO: Sua conta será bloqueada por suspeita de fraude. Atualize seus dados.",Phishing
"ASSUNTO: Mercado Livre ação urgente | CORPO: Seu cadastro apresenta irregularidade. Confirme suas informações.",Phishing
"ASSUNTO: RecargaPay | CORPO: Houve erro em seu pagamento. Acesse o link e informe seus dados.",Phishing
"ASSUNTO: Portal do Aluno atualização | CORPO: Sua matrícula será cancelada se não atualizar seus dados.",Phishing
"ASSUNTO: Amazon Brasil segurança | CORPO: Detectamos problema no pagamento. Atualize imediatamente.",Phishing
"ASSUNTO: Serasa pendência | CORPO: Existe dívida em seu nome. Regularize agora clicando no link.",Phishing
"ASSUNTO: iFood conta bloqueada | CORPO: Identificamos irregularidade. Acesse o link para validar.",Phishing
"ASSUNTO: Americanas pagamento recusado | CORPO: Confirme seus dados para concluir compra.",Phishing
"ASSUNTO: Aviso Receita Federal | CORPO: Irregularidade no CPF. Regularize urgentemente.",Phishing
"ASSUNTO: PayPal Brasil | CORPO: Transação suspeita detectada. Verifique agora.",Phishing
"ASSUNTO: Correios encomenda retida | CORPO: Seu pacote está bloqueado. Pague taxa para liberar.",Phishing
"ASSUNTO: Spotify conta suspensa | CORPO: Atualize seus dados de pagamento.",Phishing
"ASSUNTO: Netflix problema de cobrança | CORPO: Confirme seus dados para evitar cancelamento.",Phishing
"ASSUNTO: Shopee segurança | CORPO: Clique e valide seu cadastro.",Phishing
"ASSUNTO: Alerta final banco digital | CORPO: Sua conta será encerrada hoje se não atualizar.",Phishing

"ASSUNTO: Promoção incrível! | CORPO: Ganhe até 90% de desconto em produtos exclusivos. Aproveite agora!",Spam
"ASSUNTO: Você ganhou! | CORPO: Parabéns! Resgate seu prêmio clicando aqui agora.",Spam
"ASSUNTO: Dinheiro fácil online | CORPO: Trabalhe em casa e ganhe R$500 por dia.",Spam
"ASSUNTO: Oferta imperdível | CORPO: Produtos baratos só hoje!",Spam
"ASSUNTO: Empréstimo aprovado | CORPO: Crédito liberado sem consulta. Solicite já!",Spam
"ASSUNTO: Mega promoção | CORPO: Descontos incríveis só hoje!",Spam
"ASSUNTO: Ganhe dinheiro | CORPO: Método secreto para enriquecer rápido.",Spam
"ASSUNTO: Black Friday antecipada | CORPO: Aproveite descontos exclusivos.",Spam
"ASSUNTO: Compre 1 leve 3 | CORPO: Oferta limitada em produtos selecionados.",Spam
